43
1 37
1 8
1	18
1	35
2	37
2	8
2	12
2	3
3	38
3	9
3	12
4	21
4	29
4	28
5	23
5	35
5	10
5	36
5	34
6	26
6	31
6	39
7	15
7	25
8	1
8	37
8	2
8	12
8	19
8	41
8	13
8	30
8	18
9	38
9	3
10	5
10	35
10	36
10	18
10	1
11	17
11	19
11	21
11	43
11	29
12	21
12	43
12	19
12	2
12	3
13	16
13	30
13	8
13	41
13	17
14	27
14	24
15	7
15	32
16	42
16	34
16	30
16	13
17	13
17	41
17	19
17	11
17	29
17	31
17	26
18	1
18	10
18	8
18	30
18	34
19	41
19	8
19	17
19	11
19	43
19	12
20	42
21	12
21	43
21	11
21	29
21	4
22	35
22	33
22	40
23	32
23	33
23	35
23	5
24	25
24	14
25	24
25	7
26	6
26	31
26	17
27	14
28	4
28	29
29	39
29	17
29	11
29	21
29	4
29	28
30	18
30	34
30	16
30	13
30	8
31	39
31	17
31	26
31	6
32	33
32	15
32	23
33	32
33	40
33	23
33	22
33	35
34	36
34	5
34	42
34	16
34	30
34	18
35	22
35	33
35	23
35	5
35	10
35	1
35	37
36	5
36	10
36	34
37	35
37	1
37	8
37	2
38	9
38	3
39	6
39	31
39	29
40	33
40	22
41	13
41	17
41	19
41	8
42	20
42	34
42	16
43	11
43	19
43	12
43	21
